ZdAId	ZdAName	ZdATown	ZdAPostalRegion
473498	Gare de Les Noues	Goussainville	95280
473610	Gare du Vert Galant	Tremblay-en-France	93073
478504	Juvisy RER	Juvisy-sur-Orge	91326
55120	Radio	Villecresnes	94075
473798	Gare de Boissy-Saint-Léger	Boissy-Saint-Léger	94004
473606	Gare des Chantiers - États Généraux / Abbé Rousseaux	Versailles	78646
462585	Eden	Servon	77450
486395	Gare des Ardoines	Vitry-sur-Seine	94081
44280	Patte d'Oie	Vigneux-sur-Seine	91657
42341	Blazy	Viry-Châtillon	91687
42985	Gaston Viens	Orly	94054
43628	Le Cor de Chasse - La Belle Epine	Thiais	94073
473722	Pyrénées - Belleville	Paris 19e	75119
419301	Petit Tremblay	Tremblay-en-France	93073
47380	Place de la Paix	Suresnes	92073
473460	Porte de la Chapelle	Paris 18e	75118
473238	Saint-Augustin	Paris 8e	75108
48457	Mairie	Villejust	91666
47605	Foch	Herblay	95306
486213	Jacques Cottin	Pantin	93055
49741	Henri Mondor	Aulnay-sous-Bois	93005
478713	Denis Papin	Gretz-Armainvilliers	77215
478949	Clinique	Tournan-en-Brie	77470
59135	De Gaulle	Tournan-en-Brie	77470
47160	Monument aux Morts	Nangis	77327
47210	Maréchal Foch	Tournan-en-Brie	77470
47208	Val Bréon - Conforama	Châtres	77104
478723	Zac de la Terre Rouge	Tournan-en-Brie	77470
58272	Messidor - Libertés	Bonneuil-sur-Marne	94011
45022	Victor Hugo	Gretz-Armainvilliers	77215
47671	Hôtel de Ville	Combs-la-Ville	77122
44028	Mairie	Solers	77457
44017	Mairie	Châtres	77104
46573	Belle Croix	Ozoir-la-Ferrière	77350
426937	Les Myosotis	Brie-Comte-Robert	77053
485291	Rue de Meaux	Guignes	77222
56207	Campanules	Ozoir-la-Ferrière	77350
56210	Val des Dames	Tournan-en-Brie	77470
56213	Eglise	Ozoir-la-Ferrière	77350
58886	Alfred de Vigny	Gretz-Armainvilliers	77215
56224	Mairie	Ozoir-la-Ferrière	77350
56233	Poirier	Ozoir-la-Ferrière	77350
56240	La Brosse	Presles-en-Brie	77377
56157	Gros Bois	Crèvecœur-en-Brie	77144
56173	Ombrages Parc	Gretz-Armainvilliers	77215
56175	Pierre et Marie Curie	Gretz-Armainvilliers	77215
56170	Avenue des Fresnes	Gretz-Armainvilliers	77215
56197	Stade	Neufmoutiers-en-Brie	77336
56193	Ecole	Liverdy-en-Brie	77254
44365	Place Augereau	La Houssaye-en-Brie	77229
474343	Route Ferme d'Arcy	Chaumes-en-Brie	77107
58931	Centre Commercial Bonneuil	Bonneuil-sur-Marne	94011
56254	Hardillières	Soignolles-en-Brie	77455
56262	Penthievre	Tournan-en-Brie	77470
56267	Poste	Tournan-en-Brie	77470
56278	Hameau de Retal	Liverdy-en-Brie	77254
55117	Place Charlotte	Lésigny	77249
55114	Collège La Guinette	Villecresnes	94075
55127	Rue Foreau	Villecresnes	94075
55134	Hyverneaux	Lésigny	77249
55132	Haie Griselle	Boissy-Saint-Léger	94004
55140	Maison pour Tous	Brie-Comte-Robert	77053
44443	Place Saint-Jean	Melun	77288
426344	Poincaré	Tournan-en-Brie	77470
44523	Porte de Paris	Melun	77288
55161	Villemeneux	Brie-Comte-Robert	77053
43331	ZI Centre Commercial	Brie-Comte-Robert	77053
43337	Gymnase	Brie-Comte-Robert	77053
43322	Gros Chêne	Boissy-Saint-Léger	94004
55560	Quai de la Courtille	Melun	77288
42239	Auberge	Bréau	77052
42440	Caron	Marles-en-Brie	77277
43720	Chênes	Brie-Comte-Robert	77053
43863	Lycée Henri Becquerel	Nangis	77327
43846	Lycée Tour des Dames	Rozay-en-Brie	77393
43837	Lycée Blaise Pascal RD 319	Brie-Comte-Robert	77053
473826	Gare de l'Est (Parvis)	Paris 10e	75110
43987	Mairie	Gastins	77201
43912	Mairie	Villecresnes	94075
42794	Croix Rouge	Mandres-les-Roses	94047
42798	Croix Saint-Pierre	Marles-en-Brie	77277
473648	Pointe du Lac	Créteil	94028
42713	Institution Nazareth	Voisenon	77528
473354	Gare de Melun	Melun	77288
473466	Rosny-sous-Bois RER	Rosny-sous-Bois	93064
473407	Mormant	Mormant	77317
49268	RN19	Coubert	77127
49249	Mairie	La Chapelle-Iger	77087
49210	Pécqueux	Aubepierre-Ozouer-le-Repos	77010
49209	Salle des Fêtes	Andrezel	77004
49312	Grand Bréau	Courpalay	77135
49306	Victor Hugo	Coulommiers	77131
49396	Petit Moisenay	Moisenay	77295
49380	Nesles Château d'Eau	Lumigny-Nesles-Ormeaux	77264
49383	Place	Maincy	77269
49351	Montbrieux	Guérard	77219
49349	Courtry Château d'Eau	Guérard	77219
49340	8 Grande Rue	Gastins	77201
49333	Place	Faremoutiers	77176
49331	Les Bordes	Faremoutiers	77176
51629	La Louveterie	Saint-Augustin	77400
49431	Mairie	Le Plessis-Feu-Aussoux	77365
49428	Station Service	Pézarches	77360
49406	Boulangerie	Mortcerf	77318
49404	Lady Lavoir	Mormant	77317
49539	Rigny	Lumigny-Nesles-Ormeaux	77264
49527	Mairie	Pécy	77357
49518	Granvillé	Aubepierre-Ozouer-le-Repos	77010
49519	Courfruit	Aubepierre-Ozouer-le-Repos	77010
486230	Gymnase	Ermont	95219
57688	Zone d'Activités	Les Loges-en-Josas	78343
473849	Robinson RER	Sceaux	92071
473607	Gare de Versailles Château Rive Gauche	Versailles	78646
422354	La Poste	Cormeilles-en-Parisis	95176
486166	Collège Lucie Aubrac	Clichy-sous-Bois	93014
57347	Collège Claude Debussy	Aulnay-sous-Bois	93005
46213	Chemin de Savigny	Sevran	93071
42205	Anizan Cavillon - Hôtel de ville	Le Bourget	93013
473532	Gare de Saint-Denis RER (Rue Charles Michels)	Saint-Denis	93066
42309	La Belle Étoile	Saint-Maurice-Montcouronne	91568
48314	Baville	Saint-Chéron	91540
48247	Église	Mauchamps	91378
48135	Zone Industrielle	Bruyères-le-Châtel	91115
48476	Buisson Rondeau	Breuillet	91105
48481	Badaudière	Breuillet	91105
48113	Salvador Allende	Boissy-sous-Saint-Yon	91085
48111	Facteur Cheval	Boissy-sous-Saint-Yon	91085
51994	Rue des Cognassiers	Coignières	78168
418914	Université Vauban - d'Alembert	Montigny-le-Bretonneux	78423
477262	Gare routière de Versailles Chantiers	Versailles	78646
58509	Lavoisier	Maurepas	78383
47838	Place	Châteaufort	78143
44134	Mérantais	Magny-les-Hameaux	78356
473258	Coignières	Coignières	78168
44078	Marcel Cerdan	Élancourt	78208
46835	Jardins du Coeur	Villepreux	78674
44230	Pablo Picasso	Plaisir	78490
44213	Nouvelle Amsterdam	Élancourt	78208
46864	Calvaire	Thiverval-Grignon	78615
44363	Place du 14 Juillet	Saint-Rémy-lès-Chevreuse	78575
43034	Fritz Lang	Bois-d'Arcy	78073
43021	France Miniature	Élancourt	78208
424097	Châtaigneraie	Plaisir	78490
462310	Collège de Coignières	Coignières	78168
44286	Paul Éluard	Guyancourt	78297
57744	Hôtel de Ville	Trappes	78621
57745	République Paul Vaillant Couturier	Trappes	78621
57751	Allée des Yvelines	Trappes	78621
57765	Allée de la Garonne	Élancourt	78208
57766	Cornouaille	Maurepas	78383
57762	La Noël	Guyancourt	78297
