null	ID_Line	Name_Line	TransportMode
null	C00135	6	bus
null	C00050	23	bus
null	C00048	40	bus
null	C00094	15	bus
null	C00150	15	bus
null	C00269	10	bus
null	C00282	51	bus
null	C00198	16	bus
null	C00274	20	bus
null	C00196	14	bus
null	C00304	11	bus
null	C00317	H	bus
null	C00312	7	bus
null	C00319	201	bus
null	C00394	95-07	bus
null	C00446	30-13	bus
null	C00462	30-36	bus
null	C00544	439	bus
null	C00552	1	bus
null	C00553	2	bus
null	C00554	3	bus
null	C00557	6	bus
null	C00582	C	bus
null	C00602	X	bus
null	C00627	23	bus
null	C00632	34	bus
null	C00656	8	bus
null	C00667	DM06 A	bus
null	C00668	DM06 B	bus
null	C00682	DM20	bus
null	C00747	L	bus
null	C00764	35	bus
null	C00701	10	bus
null	C00699	8	bus
null	C00771	44	bus
null	C00778	49	bus
null	C00871	33	bus
null	C00877	C	bus
null	C00880	L	bus
null	C00967	68-09	bus
null	C00987	7002	bus
null	C00955	H	bus
null	C01435	A	bus
null	C01495	2271	bus
null	C01519	PROBUS D	bus
null	C01524	420	bus
null	C01528	415	bus
null	C01483	28	bus
null	C01484	29	bus
null	C01530	417	bus
null	C01561	9	bus
null	C01577	605	bus
null	C01585	617	bus
null	C00683	DM21 A	bus
null	C01612	X	bus
null	C01606	M	bus
null	C01655	16	bus
null	C01618	403	bus
null	C01619	404	bus
null	C01627	414	bus
null	C01628	415	bus
null	C01751	O2	bus
null	C01812	206B	bus
null	C01793	458	bus
null	C01950	2272	bus
null	C01700	264	bus
null	C01702	262	bus
null	C02005	30-03	bus
null	C02300	469	bus
null	C02389	30-21 Est	bus
null	C02265	T'bus 1	bus
null	C02166	12ZI	bus
null	C02423	M	bus
null	C02425	O	bus
null	C02443	38	bus
null	C02450	42	bus
null	C01533	444	bus
null	C01653	S3	bus
null	C01815	32ZA	bus
null	C02239	460	bus
null	C01868	40	bus
null	C01873	51	bus
null	C00664	DM3A	bus
null	C00299	10	bus
null	C01796	2B	bus
null	C01607	N	bus
null	C01035	74	bus
null	C00730	7	bus
null	C02248	Express A14 Bonnières	bus
null	C00642	2	bus
null	C00644	26	bus
null	C00108	44	bus
